Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of threads,Vectorization,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
5,conesHalfSize,FLOAT,64,16,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,128,AVX512,900,750,0.000001,0.002020,0.003561,0.000443,0.000161,0.000175,YES,YES,YES,YES,YES,0.004342,0.000456,0.000455,0.047352,0.011741,0.011739,YES,0.004072,0.000001,0.070083,0.000123,0.034716,0.008067,0.002488,0.001057,0.000811,YES,YES,YES,YES,YES,0.000000,0.008375,0.001823,0.000737,0.000817,YES,YES,YES,YES,YES,0.070138,0.070275,0.070585,0.070585,9.700046,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.242227,1.053263,No Data,0.973171,1.092809,1.109599,1.999765,0.505561,1.669581,3.242227,1.053263,0.973171,1.072210,
5,conesHalfSize,FLOAT,16,8,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,128,AVX256,900,750,0.000001,0.001962,0.003272,0.000452,0.000162,0.000191,YES,YES,YES,YES,YES,0.004083,0.000450,0.000450,0.053003,0.011022,0.011020,YES,0.004565,0.000001,0.075252,0.000126,0.038256,0.009838,0.003028,0.000980,0.000673,YES,YES,YES,YES,YES,0.000000,0.007738,0.001901,0.000687,0.000687,YES,YES,YES,YES,YES,0.075305,0.075433,0.075681,0.075681,9.830294,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.059298,1.043417,No Data,1.002909,No Data,1.000000,2.054373,0.530711,1.637148,3.059298,1.043417,1.002909,No Data,
6,conesFullSizeCropped,FLOAT,64,16,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,128,AVX512,900,750,0.000000,0.004106,0.007239,0.001106,0.000318,0.000356,YES,YES,YES,YES,YES,0.009045,0.001083,0.001082,0.105749,0.025240,0.025238,YES,0.008428,0.000001,0.153518,0.000123,0.074240,0.022743,0.005238,0.001956,0.001312,YES,YES,YES,YES,YES,0.000000,0.018200,0.004475,0.001417,0.001063,YES,YES,YES,YES,YES,0.153576,0.153700,0.153974,0.153974,19.973168,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.052881,0.935210,No Data,0.947843,1.041129,1.071079,1.924138,0.493641,1.699821,3.052881,0.935210,0.947843,0.953711,
6,conesFullSizeCropped,FLOAT,16,8,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,128,AVX256,900,750,0.000001,0.003404,0.006192,0.001134,0.000323,0.000366,YES,YES,YES,YES,YES,0.008008,0.000964,0.000963,0.101855,0.023403,0.023401,YES,0.008194,0.000001,0.146348,0.000133,0.072483,0.020597,0.005868,0.001648,0.001093,YES,YES,YES,YES,YES,0.000000,0.016453,0.003977,0.001350,0.001310,YES,YES,YES,YES,YES,0.146411,0.146544,0.146847,0.146847,20.028274,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.227552,0.929206,No Data,0.940073,No Data,1.000000,2.090818,0.506730,1.571600,3.227552,0.929206,0.940073,No Data,
0,tsukubaSetHalfSize,DOUBLE,64,16,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,192,144,0.000000,0.000027,0.000028,0.000020,0.000016,0.000015,YES,YES,YES,YES,YES,0.000079,0.000014,0.000014,0.000623,0.000168,0.000167,YES,0.000043,0.000000,0.000955,0.000016,0.000263,0.000151,0.000080,0.000077,0.000056,YES,YES,YES,YES,YES,0.000000,0.000068,0.000041,0.000033,0.000024,YES,YES,YES,YES,YES,0.000968,0.000985,0.000990,0.000990,0.012599,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.812992,No Data,0.725898,0.881347,2.761368,2.075471,
0,tsukubaSetHalfSize,DOUBLE,64,16,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,32,AVX512,192,144,0.000000,0.000046,0.000035,0.000027,0.000023,0.000020,YES,YES,YES,YES,YES,0.000107,0.000026,0.000026,0.001505,0.000233,0.000232,YES,0.000104,0.000000,0.002010,0.000023,0.000803,0.000346,0.000166,0.000100,0.000073,YES,YES,YES,YES,YES,0.000000,0.000081,0.000055,0.000043,0.000054,YES,YES,YES,YES,YES,0.002028,0.002051,0.002056,0.002056,0.015827,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.682657,No Data,0.982764,0.712692,1.548168,No Data,
1,tsukubaSet,DOUBLE,64,16,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,384,288,0.000000,0.000123,0.000085,0.000070,0.000068,0.000071,YES,YES,YES,YES,YES,0.000295,0.000082,0.000082,0.002035,0.000700,0.000700,YES,0.000140,0.000000,0.003353,0.000063,0.000835,0.000472,0.000290,0.000202,0.000258,YES,YES,YES,YES,YES,0.000000,0.000303,0.000154,0.000097,0.000154,YES,YES,YES,YES,YES,0.003370,0.003432,0.003481,0.003481,0.075171,,1.490207,1.490207,0.399143,0.222937,0.073667,0.023248,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.556199,No Data,1.059452,1.623129,1.204488,1.459788,
1,tsukubaSet,DOUBLE,64,16,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,384,288,0.000000,0.000119,0.000095,0.000076,0.000074,0.000078,YES,YES,YES,YES,YES,0.000325,0.000093,0.000093,0.003564,0.000758,0.000758,YES,0.000116,0.000000,0.004971,0.000068,0.001732,0.000879,0.000387,0.000325,0.000265,YES,YES,YES,YES,YES,0.000000,0.000328,0.000151,0.000105,0.000165,YES,YES,YES,YES,YES,0.004989,0.005058,0.005082,0.005082,0.075172,,1.490207,1.490207,0.399143,0.222937,0.073667,0.023248,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.678456,No Data,1.165471,1.633270,1.119951,No Data,
2,venus,DOUBLE,16,8,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,64,AVX256,434,383,0.000000,0.000166,0.000090,0.000062,0.000048,0.000050,YES,YES,YES,YES,YES,0.000250,0.000066,0.000066,0.003498,0.000738,0.000737,YES,0.000161,0.000000,0.004893,0.000046,0.001968,0.000753,0.000398,0.000218,0.000159,YES,YES,YES,YES,YES,0.000000,0.000332,0.000184,0.000119,0.000106,YES,YES,YES,YES,YES,0.004919,0.004974,0.005019,0.005019,0.313551,,0.446534,0.446534,0.883962,0.025249,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.693828,No Data,1.198077,1.387500,1.173601,1.358514,
2,venus,DOUBLE,64,16,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,128,AVX512,434,383,0.000000,0.000217,0.000158,0.000083,0.000069,0.000098,YES,YES,YES,YES,YES,0.000389,0.000124,0.000124,0.004916,0.000837,0.000837,YES,0.000217,0.000000,0.006658,0.000091,0.002379,0.001230,0.000538,0.000416,0.000345,YES,YES,YES,YES,YES,0.000000,0.000347,0.000198,0.000131,0.000150,YES,YES,YES,YES,YES,0.006677,0.006769,0.006818,0.006818,0.314074,,0.446534,0.446534,0.883962,0.025249,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.625841,No Data,1.381072,1.376619,1.015278,No Data,
3,barn1,DOUBLE,64,16,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,96,AVX512,432,381,0.000000,0.000328,0.000153,0.000090,0.000087,0.000089,YES,YES,YES,YES,YES,0.000423,0.000125,0.000125,0.005363,0.001315,0.001315,YES,0.000220,0.000000,0.007788,0.000067,0.002666,0.001236,0.000625,0.000441,0.000369,YES,YES,YES,YES,YES,0.000000,0.000590,0.000288,0.000214,0.000226,YES,YES,YES,YES,YES,0.007818,0.007892,0.007928,0.007928,0.562423,,0.500125,0.500125,0.850211,0.039127,0.025742,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.642226,No Data,1.543473,1.139754,1.025030,1.100698,
