Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Run Success,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated disparity count (known at compile-time) - DOUBLE,Speedup using CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated disparity count (known at compile-time) - HALF,Speedup using CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,Speedup using half-precision relative to float,Speedup using double-precision relative to float (actually slowdown)
5,conesHalfSize,FLOAT,26,16,8,NO,,,YES,128,5,7,17.066668,15,0.1,0,YES,YES,YES,YES,Optimized CPU,26,AVX256,900,750,7,0.000001,0.010728,0.010671,0.002474,0.000417,0.00011,0.013719,0.000201,0.000199,0.316236,0.081071,0.081069,0.019914,0.000001,0.442238,0.000087,0.246382,0.058475,0.009174,0.001701,0.000443,0,0.060605,0.015053,0.004003,0.001404,0.442282,0.442376,0.442769,0.442769,7.94187,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0,0,0,0,0,0,0.516864,1.286435,,0.516864,0.516864,,1.045464,1.096783,1.923329,,,,,,,,,,,,,,,,,,,0.516864,1.286435,1.045464,1.096783,1.564528,0.517547
5,conesHalfSize,FLOAT,26,16,8,NO,,,NO,128,5,7,17.066668,15,0.1,0,YES,YES,YES,YES,Optimized CPU,26,AVX256,900,750,7,0.000001,0.011039,0.01084,0.002561,0.000434,0.000108,0.014003,0.000213,0.000211,0.354867,0.084011,0.084008,0.020546,0.000001,0.485095,0.000083,0.274052,0.067786,0.010759,0.001959,0.000547,0,0.063759,0.015556,0.003822,0.001024,0.48514,0.485223,0.485621,0.485621,7.94187,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0,0,0,0,0,0,0.476775,1.291522,,0.476775,,0.476775,0.969688,1.096783,1.817771,,,,,,,,,,,,,,,,,,,0.476775,1.291522,0.969688,1.096783,1.5358,0.540259
6,conesFullSizeCropped,FLOAT,26,16,8,NO,,,YES,256,5,7,34.133335,15,0.1,0,YES,YES,YES,YES,Optimized CPU,26,AVX256,900,750,7,0.000001,0.024598,0.024166,0.005842,0.001111,0.000251,0.031431,0.000433,0.000431,0.655639,0.181341,0.181338,0.041821,0.000001,0.935005,0.000086,0.486045,0.135487,0.028462,0.004372,0.000976,0,0.136641,0.03269,0.009492,0.002464,0.935054,0.935141,0.935558,0.935558,16.904456,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0,0,0,0,0,0,0.502442,1.104981,,0.502442,0.502442,,0.994381,1.011668,1.911749,,,,,,,,,,,,,,,,,,,0.502442,1.104981,0.994381,1.011668,1.507854,0.515193
6,conesFullSizeCropped,FLOAT,26,16,8,NO,,,NO,256,5,7,34.133335,15,0.1,0,YES,YES,YES,YES,Optimized CPU,26,AVX256,900,750,7,0.000001,0.024302,0.024202,0.005902,0.001133,0.000253,0.031527,0.000436,0.000435,0.668918,0.17831,0.178307,0.041589,0.000001,0.945928,0.000085,0.497767,0.136816,0.029269,0.004631,0.001085,0,0.133937,0.032407,0.009391,0.002671,0.945979,0.946061,0.946474,0.946474,16.904456,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0,0,0,0,0,0,0.500758,1.100917,,0.500758,,0.500758,1.006433,1.011668,1.932974,,,,,,,,,,,,,,,,,,,0.500758,1.100917,1.006433,1.011668,1.441274,0.50724
0,tsukubaSetHalfSize,DOUBLE,26,16,8,NO,,,YES,8,5,7,1.066667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,19,AVX256,192,144,15,0,0.000023,0.000019,0.000012,0.00001,0.000009,0.000049,0.000011,0.000011,0.000437,0.000138,0.000137,0.000031,0,0.000693,0.000008,0.000237,0.000085,0.000039,0.000036,0.000037,0,0.000065,0.000029,0.000024,0.000018,0.00071,0.000719,0.000727,0.000727,0.008896,,0.896918,0.896918,0.759404,0.1199,0.017687,0,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0.003219,0.003219,0.002025,0.000398,0,0,,,,,,,,,,0.989018,1.248123,0.989018,,0.989018,,1.000129,3.539523,2.112604,,,,,,,,,,0.989018,1.248123,1.000129,3.367763,,0.809835
0,tsukubaSetHalfSize,DOUBLE,26,16,8,NO,,,NO,8,5,7,1.066667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,26,DEFAULT,192,144,15,0,0.00002,0.000018,0.000014,0.000011,0.00001,0.000053,0.000015,0.000015,0.002164,0.000127,0.000126,0.000037,0,0.002413,0.00001,0.001488,0.000426,0.000128,0.000065,0.000046,0,0.000052,0.00003,0.000023,0.000021,0.002433,0.002441,0.002448,0.002448,0.008896,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0.897712,0.897712,0.759549,0.12019,0.01765,0,,0,0,0,0,0,0,,,,,,,,,,0.825188,1.267884,0.825188,,,0.825188,0.998983,1.594129,1,,,,,,,,,,0.825188,1.267884,0.998983,3.367763,,0.686729
1,tsukubaSet,DOUBLE,26,16,8,NO,,,YES,16,5,7,2.133333,15,0.1,0,YES,YES,YES,YES,Optimized CPU,13,AVX256,384,288,15,0,0.000137,0.000084,0.000029,0.000012,0.00001,0.000137,0.000016,0.000016,0.00368,0.001435,0.001434,0.00029,0,0.005697,0.000018,0.002853,0.000525,0.000178,0.000057,0.000053,0,0.001071,0.000266,0.000067,0.000035,0.005725,0.005743,0.005808,0.005808,0.082538,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0,,,,,,,,,,0.635008,1.478273,0.635008,,0.635008,,1.039586,2.482005,2.131625,,,,,,,,,,0.635008,1.478273,1.039586,2.482005,,0.443244
1,tsukubaSet,DOUBLE,26,16,8,NO,,,NO,16,5,7,2.133333,15,0.1,0,YES,YES,YES,YES,Optimized CPU,26,AVX256,384,288,15,0,0.000119,0.000083,0.00003,0.000016,0.000012,0.00014,0.000023,0.000023,0.012232,0.001399,0.001398,0.000358,0,0.014286,0.000021,0.009473,0.00195,0.000512,0.000175,0.000097,0,0.00099,0.000285,0.000076,0.000041,0.014321,0.014352,0.014415,0.014415,0.082538,,1.490207,1.455079,0.399143,0.222937,0.073667,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0,,,,,,,,,,0.410853,1.487518,0.410853,,,0.410853,1.013181,2.482005,1.230526,,,,,,,,,,0.410853,1.487518,1.013181,2.482005,,0.427894
2,venus,DOUBLE,26,16,8,NO,,,YES,21,5,7,2.8,15,0.1,0,YES,YES,YES,YES,Optimized CPU,26,AVX256,434,383,15,0.000001,0.000335,0.000325,0.00006,0.000023,0.000016,0.000425,0.000021,0.000021,0.021407,0.00394,0.003938,0.00132,0.000001,0.027538,0.000029,0.018554,0.002226,0.000374,0.000173,0.000098,0,0.003089,0.000654,0.000133,0.000082,0.027584,0.027612,0.027715,0.027715,0.232538,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0,,,,,,,,,,0.216947,1.870883,0.216947,,0.216947,,0.991072,1.257587,1.208861,,,,,,,,,,0.216947,1.870883,0.991072,1.257587,,0.308404
2,venus,DOUBLE,26,16,8,NO,,,NO,21,5,7,2.8,15,0.1,0,YES,YES,YES,YES,Optimized CPU,26,AVX256,434,383,15,0,0.000314,0.000313,0.000058,0.000021,0.000016,0.000408,0.000023,0.000022,0.02916,0.003629,0.003628,0.001189,0.000001,0.034688,0.000027,0.023573,0.004224,0.000837,0.000294,0.000141,0,0.002807,0.000617,0.000119,0.000078,0.034728,0.034756,0.034854,0.034854,0.232538,,0.446534,0.423807,0.883962,0.025249,0.013987,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0,,,,,,,,,,0.270154,1.859307,0.270154,,,0.270154,1.093146,1.257587,1.161147,,,,,,,,,,0.270154,1.859307,1.093146,1.257587,,0.383372
3,barn1,DOUBLE,26,16,8,NO,,,YES,32,5,7,4.266667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,26,AVX256,432,381,15,0,0.000505,0.000627,0.000096,0.00003,0.000021,0.000774,0.000032,0.000031,0.031211,0.005097,0.005096,0.00178,0.000001,0.039438,0.000027,0.024829,0.005435,0.00061,0.000235,0.000124,0,0.003728,0.001039,0.000224,0.000119,0.039483,0.03951,0.039609,0.039609,0.417429,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0,,,,,,,,,,0.308941,1.535649,,,0.308941,,0.999823,1.282749,1.254645,,,,,,,,,,0.308941,1.535649,0.999823,1.282749,,0.319699
3,barn1,DOUBLE,26,16,8,NO,,,NO,32,5,7,4.266667,15,0.1,0,YES,YES,YES,YES,Optimized CPU,26,AVX256,432,381,15,0,0.000505,0.00062,0.000095,0.000029,0.000019,0.000764,0.000032,0.000031,0.042376,0.005094,0.005092,0.001796,0.000001,0.050636,0.000027,0.03298,0.007521,0.001216,0.000376,0.000175,0,0.003715,0.001037,0.000211,0.000116,0.050682,0.050709,0.050808,0.050808,0.417429,,0.500125,0.486322,0.850211,0.039127,0.025742,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0,,,,,,,,,,0.312729,1.545112,,,,0.312729,0.993916,1.282749,1.098572,,,,,,,,,,0.312729,1.545112,0.993916,1.282749,,0.370907
4,conesQuarterSize,DOUBLE,26,16,8,NO,,,YES,64,5,7,8.533334,15,0.1,0,YES,YES,YES,YES,Optimized CPU,26,AVX256,450,375,15,0,0.001494,0.001751,0.000361,0.000074,0.000032,0.002215,0.00006,0.000059,0.074829,0.013257,0.013254,0.004824,0.000001,0.096921,0.000028,0.063029,0.009446,0.001722,0.000448,0.000192,0,0.00955,0.002729,0.000719,0.000248,0.09697,0.096999,0.097102,0.097102,0.957053,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,,0.502378,1.371847,,0.502378,0.502378,,0.941755,1.128048,1.215852,,,,,,,,,,0.502378,1.371847,0.941755,1.128048,,0.478869
