Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Run Success,Acceleration,Number of threads,Vectorization,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup over AVX256 CPU vectorization - FLOAT,Speedup using CPU vectorization - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
5,conesHalfSize,FLOAT,64,16,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,900,750,0.000000,0.031933,0.038805,0.008904,0.002062,0.000283,YES,YES,YES,YES,YES,0.050061,0.000290,0.000288,0.793120,0.213931,0.213929,YES,0.075736,0.000001,1.165282,0.000312,0.619734,0.141122,0.028283,0.002949,0.000692,YES,YES,YES,YES,YES,0.000000,0.157877,0.041758,0.011992,0.002189,YES,YES,YES,YES,YES,1.165318,1.165630,1.165848,1.165848,8.364618,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.196296,1.221419,No Data,1.038299,1.006684,1.100029,1.414470,0.515764,1.927524,0.196296,1.221419,1.038299,1.006684,
5,conesHalfSize,FLOAT,64,16,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,900,750,0.000001,0.031991,0.038800,0.008907,0.002071,0.000282,YES,YES,YES,YES,YES,0.050080,0.000291,0.000289,0.800558,0.214425,0.214423,YES,0.075646,0.000001,1.173071,0.000312,0.625607,0.141624,0.028628,0.003563,0.000816,YES,YES,YES,YES,YES,0.000000,0.158053,0.041749,0.011985,0.002265,YES,YES,YES,YES,YES,1.173108,1.173418,1.173641,1.173641,8.251554,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.197277,1.243051,No Data,1.034105,No Data,1.092117,1.489633,0.505229,1.971582,0.197277,1.243051,1.034105,No Data,
6,conesFullSizeCropped,FLOAT,64,16,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,900,750,0.000001,0.064237,0.084315,0.018559,0.004096,0.000645,YES,YES,YES,YES,YES,0.107613,0.000626,0.000624,1.662034,0.440574,0.440571,YES,0.155771,0.000001,2.431048,0.000319,1.288115,0.292512,0.066329,0.012706,0.001563,YES,YES,YES,YES,YES,0.000000,0.319398,0.082601,0.032155,0.006334,YES,YES,YES,YES,YES,2.431084,2.431406,2.431626,2.431626,15.059418,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.193313,1.240360,No Data,1.045621,0.998564,1.091223,1.369990,0.520134,1.963567,0.193313,1.240360,1.045621,0.998564,
6,conesFullSizeCropped,FLOAT,64,16,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,8,AVX512,900,750,0.000001,0.064081,0.084236,0.018544,0.004089,0.000642,YES,YES,YES,YES,YES,0.107541,0.000623,0.000621,1.659629,0.439926,0.439923,YES,0.155530,0.000001,2.427570,0.000314,1.287706,0.290493,0.066571,0.012990,0.001661,YES,YES,YES,YES,YES,0.000000,0.318898,0.082587,0.032092,0.006387,YES,YES,YES,YES,YES,2.427605,2.427917,2.428134,2.428134,15.216215,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.195193,1.223064,No Data,1.050437,No Data,1.077244,1.436191,0.511898,1.989991,0.195193,1.223064,1.050437,No Data,
0,tsukubaSetHalfSize,DOUBLE,64,16,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,192,144,0.000000,0.000025,0.000013,0.000006,0.000006,0.000005,YES,YES,YES,YES,YES,0.000030,0.000006,0.000006,0.000406,0.000101,0.000100,YES,0.000023,0.000000,0.000595,0.000005,0.000232,0.000076,0.000031,0.000041,0.000026,YES,YES,YES,YES,YES,0.000000,0.000053,0.000021,0.000013,0.000013,YES,YES,YES,YES,YES,0.000611,0.000616,0.000625,0.000625,0.009312,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.797266,No Data,1.150519,1.192366,0.989949,4.257285,
0,tsukubaSetHalfSize,DOUBLE,64,16,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,192,144,0.000000,0.000033,0.000014,0.000006,0.000005,0.000005,YES,YES,YES,YES,YES,0.000031,0.000007,0.000007,0.002305,0.000108,0.000108,YES,0.000080,0.000000,0.002569,0.000005,0.001606,0.000461,0.000153,0.000069,0.000033,YES,YES,YES,YES,YES,0.000000,0.000060,0.000021,0.000014,0.000014,YES,YES,YES,YES,YES,0.002590,0.002651,0.002660,0.002660,0.011536,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.514173,No Data,0.759366,0.977740,0.918357,No Data,
1,tsukubaSet,DOUBLE,64,16,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,12,AVX512,384,288,0.000001,0.000654,0.000511,0.000076,0.000012,0.000007,YES,YES,YES,YES,YES,0.000608,0.000016,0.000015,0.018047,0.005668,0.005667,YES,0.002284,0.000000,0.027270,0.000045,0.016612,0.001087,0.000191,0.000081,0.000077,YES,YES,YES,YES,YES,0.000000,0.004592,0.000834,0.000166,0.000069,YES,YES,YES,YES,YES,0.027307,0.027353,0.027396,0.027396,0.078212,,1.490207,1.490207,0.399143,0.222937,0.073667,0.023248,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.258766,No Data,0.134620,1.560031,1.002061,1.069664,
1,tsukubaSet,DOUBLE,64,16,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,384,288,0.000001,0.000626,0.000489,0.000076,0.000015,0.000008,YES,YES,YES,YES,YES,0.000587,0.000017,0.000017,0.019810,0.005829,0.005828,YES,0.002318,0.000001,0.029175,0.000049,0.016060,0.002673,0.000694,0.000230,0.000119,YES,YES,YES,YES,YES,0.000000,0.004839,0.000753,0.000161,0.000065,YES,YES,YES,YES,YES,0.029215,0.029264,0.029305,0.029305,0.078566,,1.490207,1.490207,0.399143,0.222937,0.073667,0.023248,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.361544,No Data,0.202102,1.562706,1.000791,No Data,
2,venus,DOUBLE,64,16,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,434,383,0.000000,0.001789,0.002146,0.000269,0.000025,0.000009,YES,YES,YES,YES,YES,0.002450,0.000022,0.000021,0.046525,0.013625,0.013623,YES,0.005712,0.000001,0.070143,0.000076,0.041579,0.004271,0.000420,0.000148,0.000135,YES,YES,YES,YES,YES,0.000000,0.011256,0.001893,0.000369,0.000105,YES,YES,YES,YES,YES,0.070184,0.070259,0.070316,0.070316,0.294320,,0.446534,0.446534,0.883962,0.025249,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.399636,No Data,0.085510,1.478160,0.997916,1.029810,
2,venus,DOUBLE,64,16,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,YES,Optimized CPU,16,AVX512,434,383,0.000000,0.001784,0.002163,0.000273,0.000025,0.000009,YES,YES,YES,YES,YES,0.002479,0.000022,0.000022,0.048742,0.013635,0.013633,YES,0.005656,0.000001,0.072237,0.000076,0.042002,0.005229,0.001034,0.000325,0.000186,YES,YES,YES,YES,YES,0.000000,0.011251,0.001915,0.000372,0.000107,YES,YES,YES,YES,YES,0.072277,0.072353,0.072412,0.072412,0.296439,,0.446534,0.446534,0.883962,0.025249,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.420707,No Data,0.130034,1.458513,0.997555,No Data,
