Input Index,Stereo Set,Data Type,Total number of CPU threads,BYTES_ALIGN_MEMORY,CPU Threads Pinned To Socket,OMP_PLACES,OMP_PROC_BIND,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DataKBp,LambdaBp,SigmaBp,Memory allocation of all BP data run at or before start of run,BP data arranged for memory coalescence,Memory for BP allocated/freed outside of runs,Acceleration,Number of parallel CPU threads in run,Vectorization,Image Width,Image Height,Number of evaluation runs,Time init settings malloc (median timing across evaluation runs),Level 0 Data Costs (median timing across evaluation runs),Level 1 Data Costs (median timing across evaluation runs),Level 2 Data Costs (median timing across evaluation runs),Level 3 Data Costs (median timing across evaluation runs),Level 4 Data Costs (median timing across evaluation runs),Total time get data costs after bottom level (median timing across evaluation runs),Time to init message values (median timing across evaluation runs),Time to init message values (kernel portion only) (median timing across evaluation runs),Total time BP Iters (median timing across evaluation runs),Total time Copy Data (median timing across evaluation runs),Total time Copy Data (kernel portion only) (median timing across evaluation runs),Time get output disparity (median timing across evaluation runs),Time final free (median timing across evaluation runs),Total timed (median timing across evaluation runs),Smoothing Runtime (median timing across evaluation runs),Level 0 BP Runtime (median timing across evaluation runs),Level 1 BP Runtime (median timing across evaluation runs),Level 2 BP Runtime (median timing across evaluation runs),Level 3 BP Runtime (median timing across evaluation runs),Level 4 BP Runtime (median timing across evaluation runs),Level 0 Copy Runtime (median timing across evaluation runs),Level 1 Copy Runtime (median timing across evaluation runs),Level 2 Copy Runtime (median timing across evaluation runs),Level 3 Copy Runtime (median timing across evaluation runs),Level 4 Copy Runtime (median timing across evaluation runs),Total BP Runtime (median timing across evaluation runs),Total Runtime not including data transfer time (median timing across evaluation runs),Total runtime including data transfer time (median timing across evaluation runs),Median Optimized Runtime (including transfer time),Single-Thread CPU run time,Optimized CPU output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,Optimized CPU output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - FLOAT,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated loop iteration count (known at compile-time) - FLOAT,Speedup over no CPU vectorization - FLOAT,Speedup relative to AMD Rome (48 Cores) - DOUBLE,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - DOUBLE,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - DOUBLE,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - DOUBLE,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - DOUBLE,Speedup w/ templated loop iteration count (known at compile-time) - DOUBLE,Speedup over no CPU vectorization - DOUBLE,Speedup relative to AMD Rome (48 Cores) - HALF,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - HALF,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on largest 3 stereo sets - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count templated - HALF,Speedup relative to AMD Rome (48 Cores) on runs w/ disparity count not templated - HALF,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - HALF,Speedup w/ templated loop iteration count (known at compile-time) - HALF,Speedup over no CPU vectorization - HALF,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated loop iteration count (known at compile-time) - All Runs,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,
4,conesQuarterSize,DOUBLE,96,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,450,375,15,0.000000,0.000251,0.000252,0.000074,0.000038,0.000027,0.000394,0.000028,0.000028,0.016537,0.002292,0.002291,0.001217,0.000001,0.020771,0.000023,0.012681,0.002556,0.000687,0.000401,0.000210,0.000000,0.001780,0.000326,0.000125,0.000062,0.020806,0.020830,0.020851,0.020851,1.220203,,2.345647,1.502002,0.790667,0.161689,0.112012,0.073831,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.009695,0.008411,0.004409,0.001061,0.000172,0.000172,,,,,,,,,,2.399106,1.069682,,2.399106,,2.399106,0.996219,,,,,,,,,,,,2.399106,1.069682,0.996219,,,,
5,conesHalfSize,DOUBLE,96,32,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,900,750,7,0.000000,0.003382,0.004337,0.000719,0.000147,0.000059,0.005263,0.000065,0.000064,0.144357,0.025484,0.025482,0.009068,0.000001,0.187600,0.000296,0.108697,0.028074,0.005379,0.001413,0.000738,0.000000,0.019169,0.005071,0.001082,0.000244,0.187641,0.187955,0.188035,0.188035,8.872890,,4.299231,1.890408,0.691790,0.196993,0.147836,0.107584,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.008970,0.007845,0.005569,0.000517,0.000154,0.000055,,,,,,,,,,2.416097,1.108418,,2.416097,2.416097,,1.000402,,,,,,,,,,,,2.416097,1.108418,1.000402,,,,
5,conesHalfSize,DOUBLE,96,32,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,900,750,7,0.000001,0.003369,0.004359,0.000753,0.000146,0.000064,0.005298,0.000067,0.000066,0.151861,0.025438,0.025435,0.009047,0.000002,0.195231,0.000294,0.115385,0.028220,0.005912,0.001521,0.000824,0.000000,0.019071,0.005042,0.001084,0.000238,0.195273,0.195567,0.195646,0.195646,8.872890,,4.299231,1.890408,0.691790,0.196993,0.147836,0.107584,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.008970,0.007845,0.005569,0.000517,0.000154,0.000055,,,,,,,,,,2.339922,1.103339,,2.339922,,2.339922,0.999405,,,,,,,,,,,,2.339922,1.103339,0.999405,,,,
6,conesFullSizeCropped,DOUBLE,96,32,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,900,750,7,0.000000,0.007304,0.008583,0.002063,0.000313,0.000113,0.011074,0.000126,0.000124,0.302077,0.053339,0.053336,0.017992,0.000001,0.391880,0.000259,0.225840,0.057632,0.013675,0.002792,0.002045,0.000000,0.040283,0.009926,0.002432,0.000651,0.391922,0.392167,0.392249,0.392249,17.570176,,16.997606,3.250078,0.594434,0.318499,0.286207,0.266033,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.129079,0.051396,0.010578,0.006204,0.004348,0.001824,,,,,,,,,,2.368331,1.053552,,2.368331,2.368331,,0.999921,,,,,,,,,,,,2.368331,1.053552,0.999921,,,,
6,conesFullSizeCropped,DOUBLE,96,32,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,900,750,7,0.000000,0.007181,0.008733,0.002112,0.000318,0.000122,0.011265,0.000113,0.000112,0.304230,0.053659,0.053657,0.017532,0.000002,0.393893,0.000265,0.227411,0.058197,0.013510,0.002914,0.002105,0.000000,0.040424,0.009902,0.002664,0.000659,0.393934,0.394197,0.394275,0.394275,17.570176,,16.997606,3.250078,0.594434,0.318499,0.286207,0.266033,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.129079,0.051396,0.010578,0.006204,0.004348,0.001824,,,,,,,,,,2.382727,1.062664,,2.382727,,2.382727,1.001557,,,,,,,,,,,,2.382727,1.062664,1.001557,,,,
0,tsukubaSetHalfSize,HALF,96,32,NO,,,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,192,144,15,0.000000,0.000010,0.000021,0.000021,0.000021,0.000018,0.000081,0.000009,0.000009,0.000354,0.000100,0.000100,0.000033,0.000000,0.000591,0.000017,0.000093,0.000071,0.000065,0.000063,0.000061,0.000000,0.000033,0.000025,0.000023,0.000020,0.000606,0.000626,0.000629,0.000629,0.012478,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,,,,,,,,,,,,,,,,,,,1.787556,0.814546,1.787556,,1.787556,,1.580058,,,1.787556,0.814546,1.580058,,,,
0,tsukubaSetHalfSize,HALF,96,32,NO,,,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,192,144,15,0.000000,0.000011,0.000022,0.000020,0.000020,0.000019,0.000082,0.000010,0.000010,0.000497,0.000100,0.000099,0.000034,0.000000,0.000736,0.000018,0.000198,0.000093,0.000074,0.000066,0.000064,0.000000,0.000030,0.000025,0.000024,0.000020,0.000752,0.000771,0.000775,0.000775,0.012478,,0.897545,0.897545,0.759585,0.120009,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003906,0.003906,0.002351,0.000470,0.000000,0.000000,,,,,,,,,,,,,,,,,,,1.963788,0.827055,1.963788,,,1.963788,1.232400,,,1.963788,0.827055,1.232400,,,,
1,tsukubaSet,HALF,96,32,NO,,,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,384,288,15,0.000000,0.000024,0.000026,0.000022,0.000021,0.000020,0.000089,0.000010,0.000010,0.000785,0.000183,0.000182,0.000046,0.000000,0.001136,0.000018,0.000395,0.000170,0.000084,0.000068,0.000063,0.000000,0.000078,0.000036,0.000039,0.000028,0.001152,0.001170,0.001183,0.001183,0.119259,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,,,,,,,,,,,,,,,,,,,1.768541,1.050341,1.768541,,1.768541,,1.007910,,,1.768541,1.050341,1.007910,,,,
1,tsukubaSet,HALF,96,32,NO,,,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,384,288,15,0.000000,0.000024,0.000026,0.000023,0.000022,0.000021,0.000092,0.000010,0.000010,0.001432,0.000181,0.000180,0.000046,0.000000,0.001784,0.000020,0.000838,0.000313,0.000121,0.000087,0.000070,0.000000,0.000078,0.000036,0.000039,0.000028,0.001798,0.001817,0.001829,0.001829,0.119259,,1.489692,1.454545,0.398917,0.222900,0.073622,0.023248,,1.490623,1.455459,0.399016,0.223054,0.073794,0.023266,,0.003789,0.003789,0.001799,0.000407,0.000253,0.000000,,,,,,,,,,,,,,,,,,,1.572626,1.040136,1.572626,,,1.572626,1.001471,,,1.572626,1.040136,1.001471,,,,
2,venus,HALF,96,32,NO,,,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,434,383,15,0.000000,0.000038,0.000032,0.000021,0.000020,0.000022,0.000095,0.000011,0.000011,0.002111,0.000198,0.000198,0.000061,0.000000,0.002515,0.000019,0.001389,0.000394,0.000149,0.000099,0.000075,0.000000,0.000091,0.000041,0.000033,0.000033,0.002528,0.002548,0.002567,0.002567,0.324963,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,,,,,,,,,,,,,,,,,,,1.373755,1.354497,1.373755,,1.373755,,0.999235,,,1.373755,1.354497,0.999235,,,,
2,venus,HALF,96,32,NO,,,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,434,383,15,0.000000,0.000038,0.000032,0.000022,0.000020,0.000021,0.000097,0.000011,0.000011,0.002333,0.000200,0.000199,0.000059,0.000000,0.002739,0.000021,0.001552,0.000435,0.000161,0.000104,0.000080,0.000000,0.000091,0.000041,0.000034,0.000033,0.002754,0.002775,0.002794,0.002794,0.324963,,0.447036,0.424310,0.883980,0.025304,0.014041,0.005102,,0.446589,0.423863,0.883968,0.025219,0.013987,0.005102,,0.002497,0.002497,0.001775,0.000162,0.000084,0.000000,,,,,,,,,,,,,,,,,,,1.462142,1.354427,1.462142,,,1.462142,1.002638,,,1.462142,1.354427,1.002638,,,,
3,barn1,HALF,96,32,NO,,,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,432,381,15,0.000000,0.000052,0.000044,0.000023,0.000025,0.000022,0.000113,0.000012,0.000012,0.003131,0.000303,0.000303,0.000074,0.000000,0.003687,0.000018,0.002133,0.000582,0.000201,0.000125,0.000088,0.000000,0.000148,0.000059,0.000050,0.000045,0.003703,0.003722,0.003741,0.003741,0.497441,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0.000000,,,,,,,,,,,,,,,,,,,1.100299,1.294530,,,1.100299,,0.997131,,,1.100299,1.294530,0.997131,,,,
3,barn1,HALF,96,32,NO,,,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,432,381,15,0.000000,0.000057,0.000041,0.000022,0.000024,0.000022,0.000110,0.000011,0.000011,0.003376,0.000299,0.000299,0.000077,0.000000,0.003931,0.000018,0.002310,0.000627,0.000214,0.000130,0.000095,0.000000,0.000146,0.000058,0.000049,0.000045,0.003947,0.003967,0.003986,0.003986,0.497441,,0.500413,0.486611,0.850224,0.039182,0.025785,0.003682,,0.500357,0.486554,0.850211,0.039139,0.025791,0.003682,,0.001738,0.001738,0.000796,0.000146,0.000128,0.000000,,,,,,,,,,,,,,,,,,,1.368650,1.296392,,,,1.368650,0.999398,,,1.368650,1.296392,0.999398,,,,
4,conesQuarterSize,HALF,96,32,NO,,,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,450,375,15,0.000000,0.000106,0.000072,0.000037,0.000031,0.000024,0.000170,0.000017,0.000016,0.006735,0.000733,0.000732,0.000142,0.000000,0.007907,0.000021,0.004718,0.001317,0.000370,0.000194,0.000135,0.000000,0.000374,0.000187,0.000087,0.000085,0.007936,0.007955,0.007976,0.007976,1.220203,,2.331733,1.489175,0.790637,0.159644,0.111081,0.073665,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.024178,0.021308,0.007224,0.003224,0.000391,0.000385,,,,,,,,,,,,,,,,,,,1.197847,1.080238,,1.197847,1.197847,,0.997813,,,1.197847,1.080238,0.997813,,,,
4,conesQuarterSize,HALF,96,32,NO,,,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,450,375,15,0.000000,0.000105,0.000072,0.000038,0.000031,0.000023,0.000165,0.000017,0.000017,0.007020,0.000733,0.000732,0.000141,0.000000,0.008187,0.000021,0.004914,0.001376,0.000387,0.000203,0.000135,0.000000,0.000376,0.000184,0.000089,0.000087,0.008215,0.008237,0.008260,0.008260,1.220203,,2.331733,1.489175,0.790637,0.159644,0.111081,0.073665,,2.344841,1.500297,0.790726,0.161695,0.111479,0.073938,,0.024178,0.021308,0.007224,0.003224,0.000391,0.000385,,,,,,,,,,,,,,,,,,,1.356399,1.085155,,1.356399,,1.356399,1.000287,,,1.356399,1.085155,1.000287,,,,
5,conesHalfSize,HALF,96,32,NO,,,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,900,750,7,0.000001,0.000814,0.000852,0.000186,0.000089,0.000054,0.001180,0.000139,0.000139,0.057073,0.009021,0.009020,0.002695,0.000001,0.070870,0.000304,0.042946,0.010299,0.002691,0.000723,0.000358,0.000000,0.006757,0.001582,0.000537,0.000176,0.070911,0.071225,0.071322,0.071322,8.872890,,4.300990,1.891431,0.691837,0.197150,0.147833,0.107861,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.009449,0.007679,0.005110,0.000486,0.000203,0.000089,,,,,,,,,,,,,,,,,,,1.612226,1.149614,,1.612226,1.612226,,1.000921,,,1.612226,1.149614,1.000921,,,,
5,conesHalfSize,HALF,96,32,NO,,,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,900,750,7,0.000001,0.000807,0.000847,0.000191,0.000084,0.000055,0.001179,0.000136,0.000135,0.060827,0.008995,0.008993,0.002692,0.000001,0.074570,0.000307,0.045801,0.010978,0.002823,0.000776,0.000400,0.000000,0.006740,0.001569,0.000519,0.000174,0.074611,0.074914,0.074997,0.074997,8.872890,,4.300990,1.891431,0.691837,0.197150,0.147833,0.107861,,4.300188,1.891377,0.691908,0.197144,0.147879,0.107778,,0.009449,0.007679,0.005110,0.000486,0.000203,0.000089,,,,,,,,,,,,,,,,,,,1.568943,1.151913,,1.568943,,1.568943,0.999405,,,1.568943,1.151913,0.999405,,,,
6,conesFullSizeCropped,HALF,96,32,NO,,,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,900,750,7,0.000001,0.001984,0.002880,0.000479,0.000166,0.000103,0.003624,0.000277,0.000276,0.118257,0.018632,0.018630,0.005305,0.000001,0.147945,0.000295,0.087890,0.022772,0.005468,0.001437,0.000724,0.000000,0.013503,0.003599,0.001278,0.000312,0.147989,0.148287,0.148369,0.148369,17.570176,,17.005920,3.239433,0.594138,0.317419,0.285022,0.264702,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.180599,0.067538,0.014133,0.008030,0.005797,0.002902,,,,,,,,,,,,,,,,,,,1.726913,1.062659,,1.726913,1.726913,,0.999467,,,1.726913,1.062659,0.999467,,,,
6,conesFullSizeCropped,HALF,96,32,NO,,,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,YES,YES,YES,Optimized CPU,96,NEON,900,750,7,0.000000,0.001943,0.002794,0.000480,0.000165,0.000101,0.003548,0.000269,0.000268,0.122941,0.018638,0.018636,0.005286,0.000001,0.152664,0.000297,0.091349,0.023666,0.005650,0.001493,0.000757,0.000000,0.013619,0.003591,0.001122,0.000320,0.152705,0.153013,0.153094,0.153094,17.570176,,17.005920,3.239433,0.594138,0.317419,0.285022,0.264702,,17.044764,3.251223,0.594416,0.318496,0.286961,0.265836,,0.180599,0.067538,0.014133,0.008030,0.005797,0.002902,,,,,,,,,,,,,,,,,,,1.711529,1.062898,,1.711529,,1.711529,0.999480,,,1.711529,1.062898,0.999480,,,,
